pax_id,inbound_flight,outbound_flight,connect_airport
PAX001,B6 415,B6 500,JFK
PAX002,B6 415,B6 501,JFK
PAX003,B6 415,B6 502,JFK
PAX004,B6 302,B6 600,JFK
PAX005,B6 302,B6 601,JFK
PAX006,B6 302,B6 700,JFK
PAX007,B6 302,B6 701,JFK
PAX008,B6 118,B6 800,JFK
PAX009,B6 118,B6 801,JFK
PAX010,B6 340,B6 900,JFK
PAX011,B6 340,B6 901,JFK
PAX012,B6 340,B6 902,JFK
PAX013,B6 611,B6 500,JFK
PAX014,B6 611,B6 501,JFK
PAX015,B6 201,B6 600,JFK
PAX016,B6 201,B6 700,JFK
PAX017,B6 887,B6 800,JFK
PAX018,B6 887,B6 900,JFK
